Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
org.apache.httpcomponents.core5:httpcore5,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.httpcomponents.core5:httpcore5:5.3.1,gav://org.apache.httpcomponents.core5:httpcore5,5.3.1
org.apache.httpcomponents.core5:httpcore5-h2,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.httpcomponents.core5:httpcore5-h2:5.3.1,gav://org.apache.httpcomponents.core5:httpcore5-h2,5.3.1
org.apache.logging.log4j:log4j-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.logging.log4j:log4j-api:2.24.3,gav://org.apache.logging.log4j:log4j-api,2.24.3
org.apache.logging.log4j:log4j-to-slf4j,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.logging.log4j:log4j-to-slf4j:2.24.3,gav://org.apache.logging.log4j:log4j-to-slf4j,2.24.3
org.apache.santuario:xmlsec,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.santuario:xmlsec:3.0.3,gav://org.apache.santuario:xmlsec,3.0.3
org.apache.sshd:sshd-osgi,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.sshd:sshd-osgi:2.12.1,gav://org.apache.sshd:sshd-osgi,2.12.1
org.apache.sshd:sshd-sftp,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.sshd:sshd-sftp:2.12.1,gav://org.apache.sshd:sshd-sftp,2.12.1
org.apache.tomcat.embed:tomcat-embed-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.tomcat.embed:tomcat-embed-core:10.1.34,gav://org.apache.tomcat.embed:tomcat-embed-core,10.1.34
org.apache.tomcat.embed:tomcat-embed-el,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.tomcat.embed:tomcat-embed-el:10.1.34,gav://org.apache.tomcat.embed:tomcat-embed-el,10.1.34
org.apache.tomcat.embed:tomcat-embed-websocket,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.tomcat.embed:tomcat-embed-websocket:10.1.34,gav://org.apache.tomcat.embed:tomcat-embed-websocket,10.1.34
org.apache.tomcat:tomcat-annotations-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.tomcat:tomcat-annotations-api:10.1.34,gav://org.apache.tomcat:tomcat-annotations-api,10.1.34
